Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 0,FAX.GRT.001,Payer's Name,0,"JILL ANDERSON TRUST:BANK OF AMERICA, N.A.",Unaffected,23510,681790,2525649,33880057
Row 1,FAX.GRT.002,Recipient Identification Number,0,222-22-2222,Unaffected,23510,681791,2525649,33880051
Row 2,FAX.GRT.036,Agnt & Cstdn – Other Interest Income,0,4459,Unaffected,23510,683229,2525649,33880062
Row 3,FAX.GRT.039,Agnt & Cstdn – Dividend Income: Qualified,0,18209,Unaffected,23510,683232,2525649,33880063
Row 4,FAX.GRT.040,Agnt & Cstdn – Dividend Income: Total For Year,0,60785,Unaffected,23510,683233,2525649,33880065
Row 5,FAX.GRT.089,Account Number,0,106-243986701,Unaffected,23510,685136,2525649,33880050
Row 6,FAX.GRT.163,Employer ID,0,61-6357851,Unaffected,23510,694845,2525649,33880052
Row 7,FAX.GRT.223,Box 5: Sec 199A Dividends,0,189,Unaffected,23510,685274,2525649,33880064
Row 8,FAX.GRT.239,Tax Year,0,2,Modified,23510,690442,2525649,33880056
Row 9,FAX.GRT.042,Agnt & Cstdn – Short Term Gains Or Losses: Other Gain or Loss: Net Gain or Loss,1,40367,Unaffected,23510,683507,2525649,33880071
Row 10,FAX.GRT.043,Agnt & Cstdn – Long Term Gains Or Losses: Capital Gain Dividends: Total For the Year,1,68896,Unaffected,23510,683508,2525649,33880066
Row 11,FAX.GRT.047,"Deduction – Attorney, Accountants, And Return Prepare Fees",1,1639,Unaffected,23510,684415,2525649,33880067
Row 12,FAX.GRT.189,Agnt & Cstdn – Short Term Gains Or Losses: Other Gain or Loss: Sales Price,1,300026,Unaffected,23510,673117,2525649,33880069
Row 13,FAX.GRT.190,Agnt & Cstdn – Short Term Gains Or Losses: Other Gain or Loss: Cost Or Other Basis,1,259659,Unaffected,23510,673118,2525649,33880070
Row 14,FAX.GRT.044,Agnt & Cstdn – Long Term Gains Or Losses: Other Gain or Loss: Net Gain or Loss,2,164687,Unaffected,23510,683509,2525649,33880074
Row 15,FAX.GRT.191,Agnt & Cstdn – Long Term Gains Or Losses: Other Gain or Loss: Sales Price,2,847146,Unaffected,23510,673119,2525649,33880072
Row 16,FAX.GRT.192,Agnt & Cstdn – Long Term Gains Or Losses: Other Gain or Loss: Cost Or Other Basis,2,682459,Unaffected,23510,673120,2525649,33880073
